place,name,eligibility,school,time,year,prior experiece ,3k PR ,mile PR  ,conf. result
1,Ceili McCabe,SR-4,West Virginia,9:01.18,2025,2,8:45.97,4:29.26,1
2,Doris Lemngole,SO-2,Alabama,9:01.64,2025,1,8:41.83,4:36.80,1
3,Lexy Halladay-Lowry,SR-4,BYU,9:03.20,2025,2,8:40.60,4:31.89,1
4,Amina Maatoug,SR-4,Washington,9:03.34,2025,2,8:46.20,4:26.39,1
5,Grace Hartman,SO-2,NC State,9:03.37,2025,2,8:46.57,4:24.76,4
6,Kimberley May,SR-4,Providence,9:03.51,2025,1,8:44.73,4:27.36,3
7,Paityn Noe,FR-1,Arkansas,9:03.78,2025,0,8:47.17,4:34.02,3
8,Elise Stearns,SR-4,Northern Arizona,9:04.01,2025,1,8:41.07,4:46.48,2
9,Sophia Kennedy,SO-2,Stanford,9:04.07,2025,0,8:42.53,4:32.13,1
10,Hannah Gapes,FR-1,NC State,9:04.35,2025,0,8:48.96,4:35.54,2
11,Pamela Kosgei,FR-1,New Mexico,9:04.42,2025,0,8:44.62,4:36.70,1
12,Riley Chamberlain,JR-3,BYU,9:06.63,2025,1,8:40.89,4:26.19,1
13,Margot Appleton,SR-4,Virginia,9:08.02,2025,3,8:46.23,4:25.03,1
14,Amy Bunnage,SO-2,Stanford,9:11.87,2025,0,8:43.82,4:29.09,
15,Shannon Flockhart,SR-4,Providence,9:12.33,2025,1,8:45.67,4:30.83,1
1,Parker Valby,JR-3,Florida,8:41.50,2024,0,8:42.29,4:50.59,1
2,Olivia Markezich,SR-4,Notre Dame,8:46.71,2024,2,8:40.42,4:27.76,1
3,Doris Lemngole,FR-1,Alabama,8:50.70,2024,0,8:53.10,4:40.08,2
4,Lexy Halladay-Lowry,JR-3,BYU,8:53.08,2024,1,8:51.00,4:31.89,1
5,Hilda Olemomoi,JR-3,Alabama,8:55.88,2024,1,8:50.07,4:40.28,3
6,Riley Chamberlain,SO-2,BYU,8:56.89,2024,0,8:51.21,4:30.26,2
7,Chloe Scrimgeour,SO-2,Georgetown,8:57.28,2024,0,8:50.97,4:41.79,2
8,Maddy Elmore,SO-2,Oregon,8:58.52,2024,0,8:50.43,4:31.41,
9,Sadie Sargent,SR-4,BYU,9:02.90,2024,1,8:54.12,4:33.36,3
10,Kaylee Mitchell,SR-4,Oregon State,9:02.91,2024,2,8:51.06,4:32.95,
11,Melissa Riggins,JR-3,Georgetown,9:15.87,2024,1,8:52.82,4:30.73,1
12,Billah Jepkirui,SO-2,Oklahoma State,9:16.97,2024,1,8:49.08,4:29.64,1
1,Katelyn Tuohy,SO-2,NC State,9:10.07,2023,2,8:35.20,4:24.26,1
2,Olivia Markezich,JR-3,Notre Dame,9:13.01,2023,1,8:50.48,4:34.00,3
3,Taylor Roe,JR-3,Oklahoma State,9:13.22,2023,1,8:51.60,4:33.56,1
4,Simone Plourde,SO-2,Utah,9:14.59,2023,1,8:53.95,4:35.12,1
5,Hilda Olemomoi,SO-2,Alabama,9:15.26,2023,1,8:45.50,4:40.28,2
6,Ceili McCabe,SO-2,West Virginia,9:16.05,2023,1,8:45.97,4:29.26,1
7,Kelsey Chmiel,JR-3,NC State,9:16.26,2023,1,8:59.25,4:36.03,3
8,Maia Ramsden,SO-2,Harvard,9:16.99,2023,0,8:46.84,4:24.83,1
9,Samantha Bush,JR-3,NC State,9:17.35,2023,1,8:54.12,4:35.67,
10,Kaylee Mitchell,JR-3,Oregon State,9:18.40,2023,1,8:51.06,4:32.95,
11,Mercy Chelangat,SR-4,Alabama,9:19.33,2023,1,8:53.16,4:57.95,1
12,Grace Fetherstonhaugh,JR-3,Oregon State,9:19.38,2023,1,8:55.71,4:34.32,
13,Sadie Sargent,JR-3,BYU,9:24.19,2023,0,8:57.08,4:35.94,
14,Amina Maatoug,SO-2,Duke,9:38.14,2023,0,8:55.62,4:32.54,2
15,Lexy Halladay-Lowry,SO-2,BYU,9:49.11,2023,0,8:57.39,4:34.83,
1,Taylor Roe,SO-2,Oklahoma State,8:58.95,2022,0,8:51.60,4:33.56,1
2,Katelyn Tuohy,FR-1,NC State,8:59.20,2022,1,8:54.18,4:33.24,1
3,Lauren Gregory,JR-3,Arkansas,8:59.50,2022,2,8:53.77,4:31.88,1
4,Lauren Ryan,JR-3,Florida State,9:01.37,2022,0,8:47.88,4:36.76,4
