place,name,eligibility,school,pace,time,scoring,conference
11,Sydney Thorvaldson,SR-4,Arkansas,5:28.6,20:25.1,11,SEC
13,Edna Chepkemoi,SO-2,LSU,5:29.2,20:27.6,13,SEC
14,Elizabeth Pickett,SR-4,Texas,5:29.5,20:28.7,14,SEC
15,Yuya Sawada,SO-2,LSU,5:29.6,20:29.0,15,SEC
16,Joyce Kemboi,SO-2,Texas A&M,5:29.7,20:29.2,16,SEC
17,Debora Cherono,FR-1,Texas A&M,5:30.3,20:31.4,17,SEC
24,Olivia Pielemeier,SO-2,Arkansas,5:33.1,20:42.0,24,SEC
27,Abigael Chemnagei,FR-1,LSU,5:35.1,20:49.3,27,SEC
28,Megan Roberts,SO-2,Texas A&M,5:35.3,20:50.2,28,SEC
50,Micaela Villarreal,FR-1,LSU,5:41.3,21:12.7,49,SEC
55,Sophia Bendet,FR-1,Texas A&M,5:44.3,21:23.7,54,SEC
56,Ella Chesnut,SR-4,LSU,5:44.5,21:24.3,55,SEC
62,Elise Smoot,SR-4,Texas A&M,5:47.4,21:35.4,60,SEC
69,Kaylin Rendon,SO-2,Texas,5:49.6,21:43.4,66,SEC
70,Brighton Mooney,JR-3,Texas,5:49.9,21:44.5,67,SEC
77,Ava Cole,FR-1,Texas A&M,5:53.1,21:56.5,71,SEC
79,Natasja Beijen,SR-4,Texas,5:53.3,21:57.2,73,SEC
83,Aishling Callanan,JR-3,Texas,5:54.5,22:01.7,77,SEC
85,Anna Christie,SR-4,Texas,5:55.0,22:03.6,79,SEC
86,Mia Perez,FR-1,Texas,5:55.3,22:04.7,80,SEC
94,Ahry Comer,SO-2,LSU,5:58.4,22:16.2,85,SEC
96,Isabel Conde De Frankenberg,FR-1,Texas,5:58.7,22:17.4,,SEC
98,Staucie Lees,SO-2,Texas A&M,5:59.6,22:21.0,87,SEC
104,Sanu Jallow,JR-3,Arkansas,6:01.3,22:27.1,92,SEC
108,Lily Fawcett,FR-1,Texas,6:04.1,22:37.8,,SEC
109,Alexandra Fox,FR-1,Texas A&M,6:04.3,22:38.4,,SEC
109,Sorcha Shiu,SO-2,Arkansas,6:04.3,22:38.4,96,SEC
113,Madeleine Gear,SO-2,Arkansas,6:05.6,22:43.1,98,SEC
116,Maddie Peters,SO-2,Texas A&M,6:06.4,22:46.2,,SEC
123,Taylor Tarpley,SO-2,LSU,6:09.2,22:56.8,102,SEC
130,Bradley Weimer,SR-4,Arkansas,6:15.0,23:18.1,106,SEC
136,Maddie Gump,FR-1,LSU,6:20.1,23:37.1,,SEC
143,Svenya Stoyanoff,SR-4,LSU,6:27.9,24:06.4,,SEC
145,Marissa Espinoza,JR-3,Texas,6:33.6,24:27.5,,SEC
2,Blezzin Kimutai,SO-2,Tulane,5:26.2,20:16.3,2,American
3,Oliwia Kopec,SO-2,Rice,5:30.2,20:31.3,3,American
4,Dorcas Naibei,FR-1,Tulane,5:31.5,20:35.9,4,American
6,Alex Gobran,JR-3,Rice,5:31.7,20:36.8,6,American
8,Haley Harper,JR-3,Tulane,5:33.0,20:41.8,8,American
9,Petra Dos Santos,JR-3,Tulane,5:33.2,20:42.3,9,American
13,Janae Dean,SR-4,Tulane,5:36.2,20:53.5,13,American
16,Alex Sharp,SR-4,Tulane,5:38.1,21:00.8,16,American
17,Allison Hall,SO-2,Tulane,5:38.6,21:02.5,17,American
20,Dana Rojas Vazquez,FR-1,Tulane,5:39.9,21:07.2,,American
21,Miranda Schriver,SR-4,Rice,5:40.3,21:08.9,20,American
22,Heidi Nielson,SR-4,Rice,5:40.4,21:09.4,21,American
23,Daphne Mayer,SO-2,Rice,5:40.5,21:09.7,22,American
24,Elena Liano,SO-2,Tulane,5:42.1,21:15.4,,American
34,Molly Humes,SR-4,Rice,5:49.8,21:44.2,32,American
43,Niamh Collins,FR-1,Rice,5:53.4,21:57.5,39,American
61,Brooklyn Crow,SO-2,Rice,6:02.1,22:30.1,,American
