,,,
name,NCAA xc place,current 5k PR,BU result 
Jane Hedengren,2,14:57,14:44.79
Hilda Olemoimoi,3,14:52,15:08.61
Riley Chamberlain,4,15:23,14:58.97
Hannah Gapes,5,15:47,15:05.41
Mary Bonner Dalton,10,15:54,15:11.31
Caren Kiplagat,11,15:45,15:22.22
Joy Nakout ,12,15:36,15:11.91
Betty Kipkore,15,15:51,15:15.30
Judy Chepkoech,16,15:50,15:12.57
Pamela Kosgei,17,14:52,15:05.41
Sylvia Jelego,18,15:27,15:16.57
Tia Wilson,22,15:47,15:33.19
Amaya Aramini,25,16:01,15:30.39
Jadyn Keeler,26,15:28,15:14.76
Diana Cherotich,31,15:23,15:16.72
Hayley Burns,32,15:39,15:29.84
Angelina Perez,33,15:47,15:41.86
Sophia Kennedy,34,15:10,15:16.20
Ava Mitchell,37,15:31,15:44.63
Agnes McTighe,38,15:35,16:27.95
Nelah Roberts,41,16:24,15:43.07
Maureen Ruto,42,16:05,15:38.22
Stepahnie Moss,54,16:15,15:35.80
Kiera Moore,56,16:02,15:54.65
Zenah Cheptoo,66,,15:46.37
Leah Jeruto,60,15:46,15:55.33
Edna Chelulie,63,16:23,15:42.14
Anika Thompson,68,15:31,15:44.50
Jasmine Wood,74,16:12,15:58.41
Tilly O'Connor,78,16:31,15:56.27
Maelle Porsher,89,15:32,15:58.54
Imogen Gardiner,90,16:35,15:40.39
Ava Criniti,91,16:38,16:11.56
Charlotte Costich,93,16:32,15:49.68
Logan Hofstee,94,16:05,15:43.03
Alexis Lamb,95,16:10,15:50.27
Riley Stewart,107,15:54,15:58.63
Teresa Cherotich,109,16:06,16:11.14
Sophie Novak,114,16:23,15:53.31
Brooke Rauber,117,15:50,16:07.79
Claire Daniels,119,16:18,16:13.69
Almi Nerurkar,122,15:45,15:42.12
Tilly Simpson,124,16:19,16:00.88
Mercy Jebitok,131,16:41,16:45.78
Maddy Whitman,134,16:50,16:06.50
Ella Fadil,140,15:56,15:53.04
Margaret Carroll,142,16:14,16:01.51
Kyra Holland,143,,15:55.63
Jessica Frydenlund,148,,15:55.74
Anya Arroyo,163,,16:04.64
Ava Earl,165,,16:14.29
Cate Conklin,169,,16:12.44
Makenzie Hart,174,,16:18.32
Jasmine Trott,189,,16:20.13
Amelia Arrietta,193,,16:37.67
Maisie Wilmer,200,,16:20.76
Kiki Vaughn,201,,16:46.00
Molly Fitzpatrick,216,,16:08.26
Claire Zubey,221,,16:54.38
Doris Lemngole,1,,14:52.57
Pamela Kosgei,2,,14:52.84
Hilda Olemomoi,3,,15:00.36
Amy Bunnage,4,,15:00.75
Grace Hartman,5,,15:32.04
Paityn Noe,7,,15:23.41
Hannah Gapes,8,,15:47.35
Chloe Thomas,9,,15:17.47
Sadie Sigfstead,15,,15:52.27
Florence Caron,19,,15:36.11
Brenda Jepchirchir,21,,15:35.36
Ali Upshaw,22,,15:27.86
Chloe Scrimgeour,23,,15:24.78
Brenda Tuwei,29,,15:34.10
Anika Thompson,32,,15:31.93
Sophia Kennedy,33,,15:26.14
Mercy Kirarei,35,,16:17.54
Erin Strzelecki,37,,15:34.64
Vera Sjoberg,42,,15:45.75
Rosina Machu,45,,15:44.14
Lucy Jenks,49,,15:27.82
Brooke Rauber,50,,16:04.43
Jenny Schilling,52,,15:37.62
Riley Stewart,58,,15:54.01
Brooke Morabito,70,,15:57.01
Julia David-Smith,73,,15:55.05
Klara Dess,74,,15:57.33
Adelyn Fairley,77,,15:58.01
Kaitlyn Hynes,79,,16:16.86
Nelah Roberts,83,,16:45.59
Natalie Bitetti,91,,16:06.21
Gwenno Goode,99,,16:09.78
Savannah Roark,101,,15:53.96
Jenna Zydanowicz,102,,16:08.59
India Weir,113,,15:57.36
Tilly Simpson,118,,16:19.07
Julia Flynn,119,,16:21.67
Kate Jortberg,129,,16:26.28
