Geographic area,,Elementary-secondary revenue 1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Per pupil,,,,,,,,,,,,,,,,,,,,
,,,From federal,From state,From local,Current,Capital,,current spending,,,,,,,,,,,,,,,,,,,,
,,Total,sources,sources,sources,spending,outlay,Other ,(whole dollars),Fall enrollment,Math ,reading,science,Net Worth,Net Worth (Excluding Equity in Own Home),Assets at Financial Institutions,,,Equity in Own Home,Equity in Motor Vehicles,Retirement accounts,,,Total Debt,Secured Debt,,,Unsecured Debt,Credit Card Debt
,,,,,,,,,,,,,,,,Total,Checking Accounts,Other Interest-Earning Accounts,,,Total,IRA or Keogh Accounts,401(k)Savings ,,Total,Home Debt,Vehicle Debt,Total,
Reporting Areas........................................................................,,"700,866,445","85,359,826","322,050,110","293,456,509","579,918,240","88,341,075","22,964,365","15,941","35,595,285",237,214,153,"191,100","61,930","10,080","3,000","7,700","203,000","13,220","82,000","57,400","54,900","68,680","114,000","167,000","17,500","10,000","4,700"
Arizona…..........................................................................,,"13,858,937","2,502,145","6,553,906","4,802,886","10,901,568","1,854,564","302,207","12,003","884,915",232,208,149,"204,300","57,750","10,680","3,000","8,400","263,000","13,660","69,500","56,600","33,800","148,000","180,000","200,000","19,000","15,000","6,500"
Arkansas…..........................................................................,,"7,274,695","1,066,301","5,044,052","1,164,342","6,391,997","953,854","168,380","13,873","458,186",230,210,150,"62,500","20,010","3,000","1,000","2,500","95,000","12,620","54,490",(B),(B),"39,000","80,000","110,000","20,000","8,000","6,000"
California…..........................................................................,,"135,520,606","16,063,644","71,002,818","48,454,144","109,219,533","14,548,384","4,033,675","20,233","5,274,265",233,212,140,"273,800","73,700","13,600","4,500","10,000","550,000","15,000","100,000","50,000","75,000","86,200","206,200","309,000","19,000","9,600","4,800"
Colorado…..........................................................................,,"16,594,912","1,394,604","6,109,989","9,090,319","13,492,171","2,140,745","702,836","15,897","840,727",239,221,(B),"370,000","84,510","10,000","3,000","5,500","350,000","15,970","100,000","74,000","56,900","121,100","215,000","254,000","20,000","9,300","4,079"
Delaware…..........................................................................,,"2,904,663","312,117","1,668,554","923,992","2,753,108","223,487","16,454","22,201","123,393",233,210,150,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
Florida…..........................................................................,,"44,483,818","6,784,965","13,032,973","24,665,880","36,880,977","5,655,313","852,936","12,689","2,836,334",243,218,158,"255,100","56,200","10,550","3,000","8,000","265,000","12,270","78,000","79,000","40,000","50,010","100,000","170,000","19,000","9,500","4,500"
Georgia…..........................................................................,,"31,703,886","3,798,191","12,483,324","15,422,371","27,061,044","3,741,068","252,344","15,833","1,705,143",236,214,152,"167,000","40,200","5,140","2,000","5,000","181,000","12,200","72,000","50,000","50,000","47,000","100,000","190,000","15,000","10,000","5,000"
Hawaii…..........................................................................,,"4,424,925","541,560","3,820,783","62,582","4,068,232","342,755",,"23,878","169,308",239,216,146,"692,700","239,000","37,050","5,100","20,500","600,000","19,200","149,000",(B),(B),"320,000",(B),(B),(B),(B),(B)
Idaho…..........................................................................,,"3,740,648","442,685","2,546,559","751,404","3,176,912","216,587","50,536","11,056","285,690",238,216,156,"313,400","82,520","8,826","3,000","5,000","303,100","15,950","89,000",(B),"50,000","47,000","70,000",(B),(B),"10,000",(B)
Indiana…..........................................................................,,"16,986,190","1,940,716","9,492,395","5,553,079","13,537,077","2,830,498","452,689","13,622","978,458",240,220,159,"141,300","56,160","8,300","2,000","8,300","150,000","10,810","71,700","65,000","46,800","44,000","70,050","84,900","15,100","8,000","4,000"
Iowa…..........................................................................,,"8,830,356","810,427","4,493,043","3,526,886","7,342,596","1,532,257","167,117","14,369","507,866",237,215,159,"177,100","74,200","9,100","3,000","6,006","125,000","13,400","70,000","50,000","61,000","85,000","113,000","119,000","20,000","11,000","5,000"
Kentucky…..........................................................................,,"11,234,085","1,924,847","5,150,940","4,158,298","9,683,649","1,656,033","227,914","14,596","656,427",238,218,160,"81,900","21,160","3,700","1,900","3,000","94,000","12,000","50,000",(B),"30,000","60,600","91,000","100,000","16,000","6,900","3,000"
Maine…..........................................................................,,"3,741,382","313,928","1,518,262","1,909,192","3,530,603","152,829","55,041","19,962","169,316",233,210,158,"303,700","99,950","12,700","3,235","7,000","200,000","10,060",(B),(B),(B),(B),(B),(B),(B),(B),(B)
Maryland…..........................................................................,,"21,478,335","1,998,512","9,409,515","10,070,308","18,024,158","1,921,368","199,751","20,208","889,728",234,216,153,"330,500","152,400","22,000","5,000","11,800","280,000","15,170","120,000","83,000","100,000","139,800","198,000","250,000","20,000","14,000","5,310"
Michigan…..........................................................................,,"28,437,404","3,097,865","16,116,339","9,223,200","22,816,848","3,720,695","883,940","18,314","1,224,595",235,209,154,"167,000","56,100","10,000","2,200","5,000","145,000","10,400","85,000","54,300","60,000","65,900","88,000","108,000","17,800","9,000","5,000"
Minnesota…..........................................................................,,"17,045,237","1,375,762","10,514,435","5,155,040","14,239,292","2,256,033","648,283","17,098","794,003",241,214,157,"271,300","115,200","15,000","3,920","10,000","167,000","13,900","111,000","60,000","67,300","131,500","156,000","161,000","16,500","10,100","4,000"
Missouri…..........................................................................,,"15,251,416","1,734,228","5,329,010","8,188,178","12,609,561","2,022,454","359,084","14,241","865,208",235,212,155,"118,700","41,200","7,500","2,300","6,000","144,500","12,100","57,000","58,000","30,000","42,400","78,000","105,000","12,000","8,000","3,700"
